"seller_id","seller_zip_code_prefix","seller_city","seller_state","seller_lat","seller_lng"
"3442f8959a84dea7ee197c632cb2df15",13023,Campinas,SP,-22.893317190455804,-47.060596205366885
d1b65fc7debc3361ea86b5f14c68d2e2,13844,Mogi Guacu,SP,-22.383059438256087,-46.94803398002504
ce3ad9de960102d0677a81f5d0bb7b2d,20031,Rio De Janeiro,RJ,-22.90944638719964,-43.18023952743163
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,Sao Paulo,SP,-23.65706443572268,-46.61266825096129
"51a04a8a6bdcb23deccc82b0b80742cf",12914,Braganca Paulista,SP,-22.964518123035013,-46.53425667204075
c240c4061717ac1806ae6ee72be3533b,20920,Rio De Janeiro,RJ,-22.89542015318976,-43.23034709706914
e49c26c3edfa46d227d5121a6b6e4d37,55325,Brejao,PE,-9.024839005157318,-36.57020044972058
"1b938a7ec6ac5061a66a3766e0e75f90",16304,Penapolis,SP,-21.436313314095813,-50.07715284590317
"768a86e36ad6aae3d03ee3c6433d61df",1529,Sao Paulo,SP,-23.5684249277149,-46.63454630384515
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,Curitiba,PR,-25.456890207293227,-49.30977157533584
"8cb7c5ddf41f4d506eba76e9a4702a25",75110,Anapolis,GO,-16.333797690936528,-48.94049010042072
a7a9b880c49781da66651ccf4ba9ac38,13530,Itirapina,SP,-22.251861673447728,-47.813852095746974
"8bd0f31cf0a614c658f6763bd02dea69",1222,Sao Paulo,SP,-23.54595306082289,-46.64948422644433
"05a48cc8859962767935ab9087417fbb",5372,Sao Paulo,SP,-23.575470699748447,-46.74801812913556
"7b8e8ec35bad4b0ef7e3963650b0a87b",88705,Tubarao,SC,-28.47860728317677,-48.995526285461615
"1444c08e64d55fb3c25f0f09c07ffcf2",42738,Lauro De Freitas,BA,-12.893814632133868,-38.33893569150663
"166e8f1381e09651983c38b1f6f91c11",88780,Imbituba,SC,-28.23243831125525,-48.68022343405556
e38db885400cd35c71dfd162f2c1dbcf,70740,Brasilia,DF,-15.768118743366008,-47.89107390723135
d2e753bb80b7d4faa77483ed00edc8ca,45810,Porto Seguro,BA,-16.43232499979149,-39.0762041372904
